temp,humidity,wind_speed,pressure,aqi,country,city1,city2,date
6,64,6.3,1026,13,Bolivia,Tarija,Tarija,2020-05-23T12:00:00.000Z
14,79,2.9,1012,21,Bhutan,Thimphu,Thimphu,2020-05-23T12:00:00.000Z
27,80,7.7,1006,99,Bangladesh,Sylhet,Sylhet,2020-05-23T12:00:00.000Z
19,88,18.0,1012,66,Azerbaijan,Zaqatala,Zaqatala,2020-05-23T12:00:00.000Z
30,66,50.4,1017,29,Barbados,Saint Philip,Crane,2020-05-23T12:00:00.000Z
20,66,3.9,1012,21,Bhutan,Wangdi Phodrang,Wangdue Phodrang,2020-05-23T12:00:00.000Z
16,71,1.6,1012,17,Bhutan,Trashi Yangste,Trashi Yangtse,2020-05-23T12:00:00.000Z
14,78,4.8,1012,25,Bhutan,Tongsa,Trongsa,2020-05-23T12:00:00.000Z
30,66,50.4,1017,29,Barbados,Saint Thomas,Welchman Hall,2020-05-23T12:00:00.000Z
23,43,15.1,1023,38,Bosnia Herzegovina,Federation of B&H,Zivinice,2020-05-23T12:00:00.000Z
22,46,77.6,1007,59,Azerbaijan,Zardab,Zardob,2020-05-23T12:00:00.000Z
20,31,18.0,1019,13,Zimbabwe,Midlands,Shurugwi,2020-05-23T12:00:00.000Z
25,23,10.0,1019,13,Zimbabwe,Midlands,Redcliff,2020-05-23T12:00:00.000Z
21,29,16.9,1019,13,Zimbabwe,Midlands,Shangani,2020-05-23T12:00:00.000Z
27,27,21.7,1020,9,Zimbabwe,Matabeleland South,Beitbridge,2020-05-23T12:00:00.000Z
25,41,26.7,1023,9,Botswana,Selibe Phikwe,Selebi-Phikwe,2020-05-23T12:00:00.000Z
22,22,23.8,1019,13,Zimbabwe,Matabeleland South,Plumtree,2020-05-23T12:00:00.000Z
33,26,15.4,1005,53,Azerbaijan,Zangilan Rayon,Zangilan,2020-05-23T12:00:00.000Z
23,26,23.0,1020,9,Zimbabwe,Matabeleland South,Filabusi,2020-05-23T12:00:00.000Z
22,28,16.9,1019,13,Zimbabwe,Matabeleland South,Insiza,2020-05-23T12:00:00.000Z
24,24,23.2,1020,9,Zimbabwe,Matabeleland South,Gwanda,2020-05-23T12:00:00.000Z
23,25,20.8,1019,17,Zimbabwe,Matabeleland South,Esigodini,2020-05-23T12:00:00.000Z
34,23,10.8,1005,53,Azerbaijan,Zangilan Rayon,Mincivan,2020-05-23T12:00:00.000Z
15,34,23.0,1017,9,Australia,Western Australia,York,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Yokine,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Yangebup,2020-05-23T12:00:00.000Z
19,30,5.1,1013,29,Australia,Western Australia,Yanchep,2020-05-23T12:00:00.000Z
18,60,42.6,1015,21,Australia,Western Australia,Yallingup,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Winthrop,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,Woodbridge,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Wilson,2020-05-23T12:00:00.000Z
17,28,34.6,1017,5,Australia,Western Australia,Wongan Hills,2020-05-23T12:00:00.000Z
18,21,29.6,1017,13,Australia,Western Australia,Wooroloo,2020-05-23T12:00:00.000Z
18,36,18.0,1017,25,Australia,Western Australia,Willetton,2020-05-23T12:00:00.000Z
18,37,5.1,1014,25,Australia,Western Australia,Woodvale,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,White Gum Valley,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Westminster,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,West Perth,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,West Leederville,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Wembley Downs,2020-05-23T12:00:00.000Z
19,36,18.0,1017,21,Australia,Western Australia,Wellard,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Watermans Bay,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Wembley,2020-05-23T12:00:00.000Z
16,36,24.6,1017,29,Australia,Western Australia,Waroona,2020-05-23T12:00:00.000Z
14,100,7.7,1021,9,Australia,Western Australia,Wagin,2020-05-23T12:00:00.000Z
19,36,18.0,1017,21,Australia,Western Australia,Warnbro,2020-05-23T12:00:00.000Z
18,37,5.1,1014,25,Australia,Western Australia,Wanneroo,2020-05-23T12:00:00.000Z
22,17,23.8,1015,9,Australia,Western Australia,Waggrakine,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Victoria Park,2020-05-23T12:00:00.000Z
13,37,27.0,1010,29,Australia,Western Australia,Vasse,2020-05-23T12:00:00.000Z
20,30,5.1,1013,29,Australia,Western Australia,Two Rocks,2020-05-23T12:00:00.000Z
18,21,29.6,1017,9,Australia,Western Australia,Toodyay,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Tuart Hill,2020-05-23T12:00:00.000Z
20,19,38.0,1018,9,Australia,Western Australia,Tom Price,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Thornlie,2020-05-23T12:00:00.000Z
18,37,5.1,1014,25,Australia,Western Australia,Tapping,2020-05-23T12:00:00.000Z
18,40,7.7,1014,25,Australia,Western Australia,Trigg,2020-05-23T12:00:00.000Z
17,36,23.8,1016,21,Australia,Western Australia,Swan View,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Success,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Subiaco,2020-05-23T12:00:00.000Z
15,38,29.6,1023,5,Australia,Western Australia,Stoneville,2020-05-23T12:00:00.000Z
17,36,23.8,1016,21,Australia,Western Australia,Stratton,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,St James,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Stirling,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Spearwood,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Southern River,2020-05-23T12:00:00.000Z
19,36,34.4,1017,21,Australia,Western Australia,South Yunderup,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,South Perth,2020-05-23T12:00:00.000Z
18,36,23.8,1016,21,Australia,Western Australia,South Guildford,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,South Fremantle,2020-05-23T12:00:00.000Z
18,34,20.9,1017,17,Australia,Western Australia,Singleton,2020-05-23T12:00:00.000Z
18,37,5.1,1014,25,Australia,Western Australia,Sinagra,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,South Lake,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Shoalwater,2020-05-23T12:00:00.000Z
18,36,23.8,1016,25,Australia,Western Australia,Shenton Park,2020-05-23T12:00:00.000Z
19,34,20.9,1017,17,Australia,Western Australia,Seville Grove,2020-05-23T12:00:00.000Z
18,34,20.9,1017,13,Australia,Western Australia,Serpentine,2020-05-23T12:00:00.000Z
18,36,18.0,1017,17,Australia,Western Australia,Secret Harbour,2020-05-23T12:00:00.000Z
19,37,5.1,1014,25,Australia,Western Australia,Scarborough,2020-05-23T12:00:00.000Z
19,34,20.9,1017,25,Australia,Western Australia,Samson,2020-05-23T12:00:00.000Z
19,36,18.0,1017,21,Australia,Western Australia,Safety Bay,2020-05-23T12:00:00.000Z
18,34,20.9,1017,25,Australia,Western Australia,Rossmoyne,2020-05-23T12:00:00.000Z
23,50,48.8,1016,9,Australia,Western Australia,Roebourne,2020-05-23T12:00:00.000Z
19,36,18.0,1017,25,Australia,Western Australia,Rockingham,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Rivervale,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Redcliffe,2020-05-23T12:00:00.000Z
19,37,7.7,1014,25,Australia,Western Australia,Ridgewood,2020-05-23T12:00:00.000Z
13,38,36.0,1010,29,Australia,Western Australia,Quindalup,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Queens Park,2020-05-23T12:00:00.000Z
19,34,20.9,1017,17,Australia,Western Australia,Port Kennedy,2020-05-23T12:00:00.000Z
13,46,26.7,1021,5,Australia,Western Australia,Ravensthorpe,2020-05-23T12:00:00.000Z
22,17,23.8,1015,21,Australia,Western Australia,Port Denison,2020-05-23T12:00:00.000Z
17,59,20.9,1016,9,Australia,Western Australia,Port Hedland,2020-05-23T12:00:00.000Z
18,38,15.1,1017,25,Australia,Western Australia,Perth,2020-05-23T12:00:00.000Z
